PROBE ID,logFC,AveExpr,t,P.Value,adj.P.Val,B,SYMBOL,GENENAME,ENTREZID,threshold
2328273,1.00730945508079,10.3289111519243,6.54705747978121,2.63871435153687e-08,4.77245206176483e-07,8.74322597400323,SERINC2,serine incorporator 2,347735,Up
2333136,2.04451189266815,6.67784626808631,8.03346071399346,1.14844538644865e-10,4.91475875312946e-09,14.0997169801175,CDC20,cell division cycle 20,991,Up
2334602,1.8212048536643,7.85676163159227,5.11594965218845,4.61047697816741e-06,4.1360237646218e-05,3.68890533264841,TSPAN1,tetraspanin 1,10103,Up
2336891,1.12035911373981,6.88105549132769,3.9545024054125,0.000233596488786097,0.00120329799079588,-0.100796915,DIO1,iodothyronine deiodinase 1,1733,Up
2353283,1.26124123627937,5.03637429283584,7.85039178236799,2.23481927460639e-10,8.61481734734872e-09,13.442977105858,VANGL1,VANGL planar cell polarity protein 1,81839,Up
2358993,1.3690271694924,8.14057186984219,9.69405477508826,3.09272082628803e-13,3.19595671865849e-11,19.9384833791619,TUFT1,tuftelin 1,7286,Up
2360700,1.26939466927025,9.28955159890284,11.7553483758428,3.04450538162303e-16,1.04429874242936e-13,26.7573996796248,SLC50A1,solute carrier family 50 member 1,55974,Up
2361257,1.49160060108218,9.14011244251499,7.46885448656714,8.99850663922129e-10,2.74710304626768e-08,12.0694724789722,RAB25,"RAB25, member RAS oncogene family",57111,Up
2364381,1.33278771948679,6.57523093039789,6.43273836339286,4.00956754817865e-08,6.86414512757745e-07,8.33203239320499,RGS4,regulator of G protein signaling 4,5999,Up
2364438,1.51021741108693,5.36160496103969,8.52267364657188,1.95966089139946e-11,1.0650394044591e-09,15.8444942754164,NUF2,NUF2 component of NDC80 kinetochore complex,83540,Up
2372781,1.80683899843731,7.96772830337071,7.62011592583808,5.17629229575941e-10,1.73953484912706e-08,12.6146406866623,RGS1,regulator of G protein signaling 1,5996,Up
2378937,2.40961513680262,7.4175993811497,11.4682617850309,7.73572980443007e-16,2.10211294722605e-13,25.840581360204,DTL,denticleless E3 ubiquitin protein ligase adapter,51514,Up
2379863,1.85663720527134,6.38666703427334,9.87298807090009,1.66165775928122e-13,1.90493484060098e-11,20.5512292327193,CENPF,centromere protein F,1063,Up
2388085,1.12399941243907,6.06464370543158,3.61760771849531,0.000673893074699754,0.00297136627949044,-1.108510388,KMO,kynurenine 3-monooxygenase,8564,Up
2388219,1.23669333137619,5.93977822490096,7.99295434539368,1.33048872782281e-10,5.53908601550319e-09,13.9545600244027,EXO1,exonuclease 1,9156,Up
2398706,1.149534949,8.1003303150408,6.93621760442871,6.33663086919191e-09,1.43937649186567e-07,10.1465996307638,MFAP2,microfibril associated protein 2,4237,Up
2402459,1.04803127759709,8.50154087608929,5.6417555163077,7.09334479180156e-07,8.29164164696464e-06,5.51518943830792,STMN1,stathmin 1,3925,Up
2403261,1.03650487471981,11.0668361466525,4.12865868662674,0.000132904716736901,0.000741537571633948,0.438940345467945,IFI6,interferon alpha inducible protein 6,2537,Up
2404344,1.4901305077534,6.99517419942769,5.7143195361466,5.46236620206541e-07,6.59529031671211e-06,5.77076185061561,NKAIN1,sodium/potassium transporting ATPase interacting 1,79570,Up
2411228,1.36358588526651,6.08132330992784,7.58737445743781,5.834029729677e-10,1.92295956117849e-08,12.4966968396012,STIL,STIL centriolar assembly protein,6491,Up
2412312,1.35905519092443,9.28509793780196,5.21768460335221,3.22054402323941e-06,3.03716343168478e-05,4.03826774432438,TTC39A,tetratricopeptide repeat domain 39A,22996,Up
2413907,1.03476743977441,11.0228616237321,5.8931597706257,2.86208070363227e-07,3.78589293074819e-06,6.40355776634105,DHCR24,24-dehydrocholesterol reductase,1718,Up
2417528,1.61009838321979,5.3044524133992,7.4333814494376,1.02456816034284e-09,3.0791132653373e-08,11.9415285554197,DEPDC1,DEP domain containing 1,55635,Up
2422035,1.09034123159955,6.85120486010264,3.91577431221069,0.000264427542241779,0.00133861882067244,-0.219157893,GBP5,guanylate binding protein 5,115362,Up
2425756,2.44006341050037,6.64728002015238,8.75387800484885,8.5519424009868e-12,5.30244518839776e-10,16.6628183970568,COL11A1,collagen type XI alpha 1 chain,1301,Up
2434124,1.1041955741915,9.23151731550539,4.64558846072285,2.35768514464746e-05,0.000166010901211885,2.10508286553678,H2BC21,H2B clustered histone 21,8349,Up
2437118,1.63402443179649,9.78309933320259,7.11844972925196,3.24804424245407e-09,8.29381691654947e-08,10.8046673277013,MUC1,"mucin 1, cell surface associated",4582,Up
2438282,1.01223437005228,6.68503685082132,8.47956045772025,2.28847340444596e-11,1.21608600393462e-09,15.6914193201737,IQGAP3,IQ motif containing GTPase activating protein 3,128239,Up
