"","logFC","AveExpr","t","P.Value","adj.P.Val","B","SYMBOL","GENENAME","ENTREZID","threshold"
"2315554",-0.127347025121713,7.48892436115277,-2.02178849023263,0.0483720285115474,0.106738518252398,-5.01351629294934,"TTLL10","tubulin tyrosine ligase like 10","254173","Not Sig"
"2315633",0.0534384075107592,7.35960809529108,1.09239576076766,0.279708177405205,0.417570312863943,-6.40546235508864,"B3GALT6","beta-1,3-galactosyltransferase 6","126792","Not Sig"
"2315674",-0.0785373570386412,7.42835400042168,-1.19388754613764,0.237954760175163,0.369940826826919,-6.29107783061831,"SCNN1D","sodium channel epithelial 1 subunit delta","6339","Not Sig"
"2315739",0.0988339446213136,7.60359644922062,1.58476285109859,0.119100108870434,0.218222966481904,-5.76227061294921,"PUSL1","pseudouridine synthase like 1","126789","Not Sig"
"2315894",-0.209574411989365,9.74617573337244,-2.61189215118097,0.0117497448850994,0.0333578788425027,-3.76367457377693,"VWA1","von Willebrand factor A domain containing 1","64856","Not Sig"
"2315918",-0.229294367796546,7.52337976064642,-1.35489459248406,0.181324326001849,0.301012877262742,-6.09000762942558,"ATAD3C","ATPase family AAA domain containing 3C","219293","Not Sig"
"2315951",-0.0508520641193773,8.63286782023363,-0.764673713700505,0.447931657521323,0.585476467559491,-6.70788887189004,"ATAD3A","ATPase family AAA domain containing 3A","55210","Not Sig"
"2316218",-0.121312598641697,6.34743464956256,-1.16171940477524,0.250668561742513,0.384064159300741,-6.32837633818006,"CALML6","calmodulin like 6","163688","Not Sig"
"2316245",0.21935871366442,7.78194971596224,2.4830260970392,0.0162998956446966,0.0436468373522405,-4.05833748010773,"PRKCZ","protein kinase C zeta","5590","Not Sig"
"2316379",-0.347567373692112,9.12279965601621,-4.04793828060343,0.000172831221432163,0.000929272259338471,0.187284974275196,"SKI","SKI proto-oncogene","6497","Not Sig"
"2316558",0.128427176913876,8.82043527318621,2.25467743634696,0.0284034370680716,0.0690053038968348,-4.55128568400615,"RER1","retention in endoplasmic reticulum sorting receptor 1","11079","Not Sig"
"2316605",-0.188328190741598,7.31397910986995,-3.08182942598626,0.00329059935239217,0.0114332095257307,-2.59628986464715,"PLCH2","phospholipase C eta 2","9651","Not Sig"
