"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0000070","GO:0000070","mitotic sister chromatid segregation",182,0.670794926213735,2.62355932531844,1e-10,1.02650800480694e-08,7.24806754200587e-09,2059,"tags=40%, list=12%, signal=35%","22974/983/51203/991/1063/57405/9787/3832/5347/9055/2491/699/57082/29128/83540/81930/64105/221150/9493/4605/64151/9319/23397/56992/10403/11130/891/29127/7272/1062/10615/10051/9928/9735/24137/5885/4751/11004/55143/9184/348235/7283/55055/9212/220134/348654/54892/332/1104/10592/4085/9700/54908/26271/3835/23636/9918/23310/11200/11065/51510/147841/283489/51529/152185/79598/26073/51143/51451/22919/10459/126353"
"GO:1905818","GO:1905818","regulation of chromosome separation",74,0.756556729154029,2.59109055345038,1e-10,1.02650800480694e-08,7.24806754200587e-09,2003,"tags=55%, list=12%, signal=49%","991/1063/57405/9787/5347/699/57082/83540/221150/64151/9319/23397/10403/11130/891/7272/10051/9735/5885/55143/9184/55055/9212/220134/348654/54892/332/10592/1457/4085/9700/54908/26271/9918/23310/11065/147841/51529/51143/51451/10459"
"GO:0051304","GO:0051304","chromosome separation",81,0.73802515288266,2.57124888787553,1e-10,1.02650800480694e-08,7.24806754200587e-09,2003,"tags=51%, list=12%, signal=45%","991/1063/57405/9787/5347/699/57082/83540/221150/64151/9319/23397/10403/11130/891/7272/10051/9735/5885/55143/9184/55055/9212/220134/348654/54892/332/10592/1457/4085/9700/54908/26271/9918/23310/11065/147841/51529/51143/51451/10459"
"GO:0098813","GO:0098813","nuclear chromosome segregation",298,0.62382847255679,2.54412517915748,1e-10,1.02650800480694e-08,7.24806754200587e-09,1859,"tags=31%, list=11%, signal=28%","7153/22974/983/51203/9134/991/9133/1063/57405/10388/83990/9787/3832/5347/9055/990/6790/2491/699/57082/29128/1894/259266/83540/81930/64105/151648/221150/9493/4605/64151/9319/23397/56992/10403/11130/891/29127/7272/1062/10615/10051/9928/9735/9232/24137/79980/5885/81610/4751/11004/55143/9184/348235/7283/55055/9212/220134/348654/84057/54892/55706/2177/332/1104/10592/898/9897/10460/4085/9700/54908/6597/26271/86/3835/55920/23636/9918/23310/11200/11065/51510/147841/283489/51529/152185/79598/26073/157777/51143/51451"
"GO:0000819","GO:0000819","sister chromatid segregation",219,0.637407917364353,2.52498600048778,1e-10,1.02650800480694e-08,7.24806754200587e-09,2059,"tags=35%, list=12%, signal=31%","7153/22974/983/51203/991/1063/57405/9787/3832/5347/9055/990/2491/699/57082/29128/83540/81930/64105/221150/9493/4605/64151/9319/23397/56992/10403/11130/891/29127/7272/1062/10615/10051/9928/9735/24137/5885/4751/11004/55143/9184/348235/7283/55055/9212/220134/348654/54892/332/1104/10592/10460/4085/9700/54908/6597/26271/86/3835/23636/9918/23310/11200/11065/51510/147841/283489/51529/152185/79598/26073/51143/51451/22919/10459/126353"
"GO:0006261","GO:0006261","DNA-templated DNA replication",155,0.655083155264159,2.50359777572131,1e-10,1.02650800480694e-08,7.24806754200587e-09,2579,"tags=48%, list=15%, signal=42%","983/9134/9837/990/79733/9156/4173/8655/5111/7083/90381/5427/641/8318/11169/5984/55388/5888/142/10721/79915/29980/348654/84515/8317/1017/8914/5591/5423/5557/675/201254/898/23649/672/4172/4171/146956/5558/4175/6596/144455/3980/5985/50484/6240/10269/26271/4683/5426/9093/92797/5982/55159/10498/23594/580/11232/4176/5965/57804/5425/11177/11073/997/4998/1602/6742/57418/5422/55218/84296/10926/449619/5001"
"GO:0007059","GO:0007059","chromosome segregation",399,0.591125368019198,2.4686948822751,1e-10,1.02650800480694e-08,7.24806754200587e-09,2601,"tags=35%, list=15%, signal=30%","7153/22974/983/51203/4288/9134/991/9133/1063/57405/10388/83990/9787/3832/5347/9055/990/6790/2491/699/57082/29128/1894/259266/83540/81930/64105/151648/221150/9493/6491/81624/4605/64151/9319/23397/56992/10403/11130/79682/891/29127/7272/1062/401541/10615/10051/9928/9735/9232/24137/79980/5885/81610/4751/11004/55143/9184/348235/11339/7283/55055/9212/220134/348654/6732/84057/64793/55355/54892/55706/2177/151246/201254/332/1104/79172/10592/898/672/9897/163786/157313/54820/1457/10460/55732/4085/9700/54908/6597/203068/26271/86/3835/55920/23636/9918/79677/84191/23310/11200/11065/51510/147841/283489/23255/51529/152185/91687/79023/79598/26073/2068/157777/51143/51451/22919/10459/126353/51647/23421/54069/8086/92421/7150/6598/8243/55166/79903/83903/10097/286053/56852/1453/26993/8239/8766/5518"
"GO:0010965","GO:0010965","regulation of mitotic sister chromatid separation",59,0.753750187089564,2.46015369869598,1e-10,1.02650800480694e-08,7.24806754200587e-09,2003,"tags=56%, list=12%, signal=50%","991/1063/57405/9787/5347/699/57082/83540/221150/9319/10403/11130/891/7272/9735/5885/55143/9184/55055/9212/220134/348654/332/4085/9700/54908/26271/11065/147841/51529/51143/51451/10459"
"GO:0051310","GO:0051310","metaphase chromosome alignment",99,0.682814257588609,2.45955323413537,1e-10,1.02650800480694e-08,7.24806754200587e-09,1651,"tags=37%, list=10%, signal=34%","983/1063/57405/57082/1894/83540/81930/151648/221150/10403/11130/891/29127/7272/1062/10615/9928/9735/79980/81610/4751/11004/55143/9184/348235/55055/9212/220134/332/54908/3835/55920/23636/51510/147841/283489/152185"
"GO:0000075","GO:0000075","cell cycle checkpoint signaling",179,0.631474855159503,2.45947426395414,1e-10,1.02650800480694e-08,7.24806754200587e-09,2003,"tags=39%, list=12%, signal=34%","51514/983/991/1063/57405/83990/5347/990/699/57082/4582/83540/1111/221150/9319/10403/11130/891/7272/90381/641/79968/9735/8318/25896/55143/9184/5888/83666/55055/9212/220134/29980/348654/1017/8914/5591/675/79035/2177/332/672/8870/1457/595/146956/151636/4085/3014/83695/54908/4683/51360/9675/79184/55159/11200/58493/580/147841/63967/29086/51143/80279/51451/11073/4998/23476/10459"
"GO:0045132","GO:0045132","meiotic chromosome segregation",86,0.701096611362874,2.45650668972173,1e-10,1.02650800480694e-08,7.24806754200587e-09,1213,"tags=33%, list=7%, signal=30%","9134/9133/10388/83990/5347/6790/57082/259266/83540/151648/221150/9319/23397/10403/11130/7272/10051/9232/348235/220134/84057/55706/2177/10592/898/9897/9700/26271"
"GO:0051306","GO:0051306","mitotic sister chromatid separation",62,0.740866768871437,2.45113746185821,1e-10,1.02650800480694e-08,7.24806754200587e-09,2003,"tags=53%, list=12%, signal=47%","991/1063/57405/9787/5347/699/57082/83540/221150/9319/10403/11130/891/7272/9735/5885/55143/9184/55055/9212/220134/348654/332/4085/9700/54908/26271/11065/147841/51529/51143/51451/10459"
"GO:0033046","GO:0033046","negative regulation of sister chromatid segregation",49,0.764110672676802,2.42897303852532,1e-10,1.02650800480694e-08,7.24806754200587e-09,2003,"tags=59%, list=12%, signal=52%","991/1063/57405/5347/699/57082/83540/221150/9319/10403/11130/891/7272/9735/5885/55143/9184/55055/9212/220134/348654/332/4085/54908/26271/147841/51143/51451/10459"
"GO:0033048","GO:0033048","negative regulation of mitotic sister chromatid segregation",49,0.764110672676802,2.42897303852532,1e-10,1.02650800480694e-08,7.24806754200587e-09,2003,"tags=59%, list=12%, signal=52%","991/1063/57405/5347/699/57082/83540/221150/9319/10403/11130/891/7272/9735/5885/55143/9184/55055/9212/220134/348654/332/4085/54908/26271/147841/51143/51451/10459"
"GO:0045841","GO:0045841","negative regulation of mitotic metaphase/anaphase transition",49,0.764110672676802,2.42897303852532,1e-10,1.02650800480694e-08,7.24806754200587e-09,2003,"tags=59%, list=12%, signal=52%","991/1063/57405/5347/699/57082/83540/221150/9319/10403/11130/891/7272/9735/5885/55143/9184/55055/9212/220134/348654/332/4085/54908/26271/147841/51143/51451/10459"
"GO:2000816","GO:2000816","negative regulation of mitotic sister chromatid separation",49,0.764110672676802,2.42897303852532,1e-10,1.02650800480694e-08,7.24806754200587e-09,2003,"tags=59%, list=12%, signal=52%","991/1063/57405/5347/699/57082/83540/221150/9319/10403/11130/891/7272/9735/5885/55143/9184/55055/9212/220134/348654/332/4085/54908/26271/147841/51143/51451/10459"
"GO:0007093","GO:0007093","mitotic cell cycle checkpoint signaling",131,0.649130525831703,2.42351280685485,1e-10,1.02650800480694e-08,7.24806754200587e-09,2003,"tags=42%, list=12%, signal=37%","51514/983/991/1063/57405/5347/990/699/57082/4582/83540/1111/221150/9319/10403/11130/891/7272/90381/641/9735/55143/9184/55055/9212/220134/29980/348654/1017/5591/79035/2177/332/672/8870/595/146956/4085/54908/4683/51360/79184/55159/11200/58493/580/147841/63967/29086/51143/80279/51451/11073/4998/10459"
"GO:0051983","GO:0051983","regulation of chromosome segregation",127,0.649044909552285,2.41685054426538,1e-10,1.02650800480694e-08,7.24806754200587e-09,1859,"tags=39%, list=11%, signal=35%","983/991/1063/57405/9787/5347/990/699/57082/83540/221150/64151/9319/23397/10403/11130/891/7272/1062/10051/9735/5885/11004/55143/9184/55055/9212/220134/348654/54892/332/10592/1457/10460/4085/9700/54908/6597/26271/86/55920/9918/79677/23310/11065/147841/51529/51143/51451"
"GO:0008608","GO:0008608","attachment of spindle microtubules to kinetochore",54,0.755261322958439,2.41414331973337,1e-10,1.02650800480694e-08,7.24806754200587e-09,679,"tags=43%, list=4%, signal=41%","983/57405/57082/1894/83540/151648/221150/10403/891/29127/1062/10615/9735/79980/4751/11004/55143/9184/348235/55055/9212/220134/332"
"GO:0061982","GO:0061982","meiosis I cell cycle process",124,0.651232911817701,2.41257371646989,1e-10,1.02650800480694e-08,7.24806754200587e-09,1930,"tags=29%, list=11%, signal=26%","1164/7153/9134/991/9133/10388/83990/5347/6790/57082/9319/10403/11130/10635/9232/5885/80010/5888/25788/84057/675/55706/2177/201254/898/5889/146956/9700/79703/26271/8438/9088/3306/2072/157777/994"
"GO:0045839","GO:0045839","negative regulation of mitotic nuclear division",56,0.750119240458753,2.4107511679916,1e-10,1.02650800480694e-08,7.24806754200587e-09,1213,"tags=50%, list=7%, signal=47%","991/1063/57405/5347/699/57082/83540/1111/221150/9319/10403/11130/891/7272/9735/5885/55143/9184/10040/55055/9212/220134/348654/332/27085/4085/54908/26271"
"GO:0007127","GO:0007127","meiosis I",116,0.658684269737071,2.40827951776099,1e-10,1.02650800480694e-08,7.24806754200587e-09,1930,"tags=29%, list=11%, signal=26%","1164/7153/9134/9133/10388/83990/5347/6790/57082/9319/10403/11130/10635/9232/5885/80010/5888/25788/84057/675/55706/2177/201254/898/5889/146956/9700/79703/26271/8438/3306/2072/157777/994"
"GO:1902100","GO:1902100","negative regulation of metaphase/anaphase transition of cell cycle",51,0.755850701517423,2.40581583814173,1e-10,1.02650800480694e-08,7.24806754200587e-09,2003,"tags=57%, list=12%, signal=50%","991/1063/57405/5347/699/57082/83540/221150/9319/10403/11130/891/7272/9735/5885/55143/9184/55055/9212/220134/348654/332/4085/54908/26271/147841/51143/51451/10459"
"GO:1905819","GO:1905819","negative regulation of chromosome separation",51,0.755850701517423,2.40581583814173,1e-10,1.02650800480694e-08,7.24806754200587e-09,2003,"tags=57%, list=12%, signal=50%","991/1063/57405/5347/699/57082/83540/221150/9319/10403/11130/891/7272/9735/5885/55143/9184/55055/9212/220134/348654/332/4085/54908/26271/147841/51143/51451/10459"
"GO:0140013","GO:0140013","meiotic nuclear division",178,0.617426251016546,2.40474941312242,1e-10,1.02650800480694e-08,7.24806754200587e-09,1800,"tags=29%, list=10%, signal=26%","1164/7153/9134/991/9133/10388/83990/5347/6790/57082/259266/83540/81930/151648/221150/9319/23397/10403/11130/7272/10635/10051/9232/5885/80010/348235/5888/25788/220134/84057/675/55706/2177/201254/10592/898/2175/9897/5889/146956/84930/9700/11022/79703/26271/9633/8438/63979/3306/2072/157777"
"GO:0051784","GO:0051784","negative regulation of nuclear division",61,0.726146035789412,2.3883477255519,1e-10,1.02650800480694e-08,7.24806754200587e-09,1213,"tags=46%, list=7%, signal=43%","991/1063/57405/5347/699/57082/83540/1111/221150/9319/10403/11130/891/7272/9735/5885/55143/9184/10040/55055/9212/220134/348654/332/27085/4085/54908/26271"
"GO:0051985","GO:0051985","negative regulation of chromosome segregation",52,0.748533043498546,2.38488985785196,1e-10,1.02650800480694e-08,7.24806754200587e-09,2003,"tags=56%, list=12%, signal=49%","991/1063/57405/5347/699/57082/83540/221150/9319/10403/11130/891/7272/9735/5885/55143/9184/55055/9212/220134/348654/332/4085/54908/26271/147841/51143/51451/10459"
