"","GSM2934481","GSM2934482","GSM2934483","GSM2934484","GSM2934485","GSM2934486","GSM2934487","GSM2934488","GSM2934489","GSM2934490","GSM2934491","GSM2934492","GSM2934493","GSM2934494","GSM2934495","GSM2934496","GSM2934497","GSM2934498","GSM2934499","GSM2934500","GSM2934501","GSM2934502","GSM2934503","GSM2934504","GSM2934505","GSM2934506","GSM2934507","GSM2934508","GSM2934509","GSM2934510","GSM2934511","GSM2934512","GSM2934513","GSM2934514","GSM2934515","GSM2934516","GSM2934517","GSM2934518","GSM2934519","GSM2934520","GSM2934521","GSM2934522","GSM2934523","GSM2934524","GSM2934525","GSM2934526","GSM2934527","GSM2934528","GSM2934529","GSM2934530"
"2315554",7.42311453755112,7.05793383046091,7.67334686674423,7.1990903579337,7.66944556373945,7.53672166982172,7.65691277966853,7.21025337828538,7.13690336176673,7.42790038139625,7.42543338972698,7.21648804646583,7.79280268420848,7.32090306300332,7.43172623778205,7.56287764878426,7.44544993926879,7.27264410849822,8.06403064444794,7.64765476727793,7.70378009676269,7.40703518935924,7.30143631783587,7.46941637970371,7.61684882963951,7.90604248983221,7.3229663042424,7.46703985891236,7.93492578201003,7.59612857138662,7.2239705504779,7.51097894031282,7.37784759005918,7.13704856982915,7.56788238210235,7.70261086031761,7.63328218765536,7.48654798882924,7.31095339611238,7.48630500230381,7.44409183976813,7.25645342700896,7.56459283382734,7.46366796574547,7.79798899419391,7.54643779569073,7.92444368553624,7.35641663994827,7.37077004771289,7.3866742836901
"2315633",7.35786599360168,7.36171145415037,7.46968170100168,7.2326498273309,7.40400884933414,7.47080710915638,7.13514850598997,7.42994464699843,6.94655008453396,7.24208286420471,7.23856021644614,7.17859252181224,7.28570540510818,7.31334660104203,7.28580525421432,7.55636044578099,7.24060051425333,7.24890702145165,7.45479089886822,7.63841973770581,7.44224405209407,7.26585002432085,7.31384802786332,7.16410925546377,7.42025261350491,7.58106317557491,7.28294875968787,7.41252578457867,7.47927439330526,7.59313133720792,7.29135211299048,7.35703251814082,7.25931239769531,7.44844889712237,7.39327201211673,7.22855949356715,7.4586328829256,7.87670240603955,7.06412083379564,7.16225057261609,7.4820598466834,7.40416365039638,7.44980832181402,7.24923309641197,7.41283643364856,7.4541605916638,7.50939033676181,7.32360780021106,7.24415184015378,7.46452164321268
"2315674",7.49494364310068,7.2157033755185,7.70424422773353,7.12351831154271,7.60392008663127,7.55056248854746,7.31539419476221,7.52516964102377,7.05362134796673,7.05325684165611,7.31559343471639,7.16565099449048,7.61020144057487,7.40079074401649,7.35771803280661,7.3305584471457,7.39176009265088,7.51480909884796,7.84123860941796,7.39599713015426,7.6586756850233,7.69884617817719,7.10049707757785,7.35870986590191,7.62471292540415,7.81961406903845,7.265144407083,7.43585873861292,7.7255554571941,7.56792818674382,7.2702086887898,7.50249553154896,7.48303054512134,7.16481014014334,7.64707109128164,7.42482624643522,7.58207627026431,7.36423494662247,7.13007396203518,7.19687202480397,7.31816327998825,7.19987896354466,7.48308416933443,6.93288744223276,7.67162156550387,7.8958602596721,7.73394819651042,7.27849734263964,7.30806854205217,7.60979603849826
"2315739",7.37222233545207,7.401895759991,7.83965928354268,7.26542857194974,7.65469520526159,7.87499145108213,7.55280591125925,7.66452106988617,7.19809505740513,7.68176547630762,7.57694675035762,7.55608652192665,7.59241788096034,7.5867031590477,7.15316034261947,7.93608524113266,7.39398577088917,7.51180410128045,7.91438419362943,7.53122608587277,7.73369866390579,8.07962199141941,7.03983170903678,7.50017467956285,7.53976716998321,7.99544551195905,7.57362926720436,7.77164605245426,7.68134710642419,7.70636394847376,7.51982971921348,7.69837803668713,7.51189944243035,7.49221987248636,7.62325101930893,7.55524830232688,7.69433230235489,7.72843801473936,7.29646301156742,7.73725083335548,7.43086825166511,7.6742523212353,7.83296571618938,7.35015760010889,7.72199686186861,7.87440194103567,7.87373903577449,7.67769969378806,7.53249491444534,7.47352930017276
"2315894",9.60054841012673,9.18111236236965,10.0772914307902,9.09385553751572,9.99282355405383,9.61537029626618,9.65445767218745,9.52077591282875,9.35171319610627,9.59957495657416,9.62027357274521,9.48877323447758,10.3115055084817,9.33928166122052,9.74825878878178,9.76450446163527,9.79953966909892,9.56945044598164,10.1890793928752,9.70863489930401,9.79582312581718,9.95409376221125,9.70664113611211,9.53818460553105,10.0069466760872,10.4056788655422,9.82645169438512,9.75030625834338,10.3153522561321,9.8087807996833,9.70621974701034,9.83141249494144,9.51966280978215,9.52279097122175,9.8741000690122,9.69839486017793,10.3169226682534,9.577906297207,9.32516789169011,9.46054002355115,9.7493508851487,9.51414669295053,9.90153727444336,9.4297308677512,9.88807247235272,10.0556510531925,10.3598319264864,9.8746620714472,9.63650165621769,9.73109979251872
"2315918",7.8261617650398,5.65708080490631,7.21471433603005,7.19441619597636,7.70211244674222,7.5068497515824,8.01020994748625,9.08267001928074,8.20616472307989,7.05646989797143,7.78868698466357,6.61271962492527,7.94728813728538,8.00259579938241,7.28028655447359,7.33809964067806,7.54756061114326,7.63571326008143,8.02843692683969,8.87933252239662,7.81014417321621,6.8283598236877,7.4113309646608,7.24047279906434,7.86235771355235,7.72616774200729,7.27188617497909,6.84750374410157,8.02036891245045,7.93209838447669,7.36000427674773,7.25412128715826,8.0249704452053,6.90427592961217,6.69038033856398,8.48754963293878,7.19820896721615,6.48438550817215,7.68699887459551,7.28036948362884,7.62686218444566,8.40464081163083,7.21030118909853,7.52125704544048,8.30680127824013,6.49108283928787,7.65115430749057,7.15757242196621,7.26728138037112,7.69250944834959
"2315951",8.66395245685394,8.25196397800847,8.85508055297345,8.15499583886442,8.81176234563357,8.89637670601749,8.57216614617489,8.77491243482766,8.05341066541082,8.89829672160703,8.40266017498652,8.56713276904748,8.88831357273903,8.46244138219718,8.56995216311258,8.72474877769318,8.23842964171979,8.59701343746831,8.97358313128239,8.53406175421834,8.66221214235849,8.79736022432517,8.44843643005959,8.5469723196489,8.56613852626764,8.92708880350527,8.67833206948075,8.71615106891564,8.74833488393163,8.68728352100037,8.61461824532533,8.70762119016868,8.72926603114418,8.42733734420525,8.85128195229153,8.56517406411327,8.99233317757521,8.37279989515978,8.34637651304334,8.93916358620949,8.76035383814179,8.73569616556074,8.74988721630261,8.19343958863739,8.67769410802972,8.55214699814865,9.08080450504733,8.61866528706097,8.52196581744663,8.53720084773938
"2316218",6.73549100210278,5.91255606493825,6.87167442327807,5.89892194571243,6.41508012440443,6.84214962965445,6.03921161478702,6.33826202099854,6.09195826981389,6.21291735858824,6.26184502722855,6.10750796106314,6.50486302106492,6.57406338732568,6.6907076870787,5.88442312038617,6.41974273081631,6.17892268598901,6.86843789944046,6.23963561702274,6.13858214410616,6.84384337203129,5.60507514848899,6.42946803997372,6.72774819978352,7.05110703812722,6.17631951154058,5.89147347004293,6.76275478174659,6.52730325498238,5.97582105442183,6.72606878323444,6.60978228124413,5.9300139514424,6.18657737282311,6.56834799022354,6.12677675936442,5.64843902690635,6.01545954041755,6.00353803420837,6.74939697116039,5.66269225297248,6.28355404949687,6.01968923549754,6.45827467686019,6.35733036606513,7.12797693343804,6.67624976082868,6.3591624971777,6.64453438782767
"2316245",7.65772313695427,7.96383447805751,7.88017413686533,8.22860127652104,7.79930336084239,8.13739520625159,7.89801691035829,8.35106568199187,7.66399249728783,7.14988638864682,7.79382740315608,7.51527600996344,7.65279452350642,8.3158672132103,7.55621957229936,7.79571595358271,7.62163153615662,7.605501793412,8.15182723999556,8.30370597232404,8.01344208941877,7.75872006176275,7.62422088753685,7.7560475345964,7.79495695477972,7.94154267224765,6.91958789825303,7.75866359881466,7.87492026343998,7.57815113546387,7.91785683397322,7.92595659158498,8.10736597491198,7.82619254960425,6.94465606797914,7.89668814407541,7.11151761849822,8.02498149327737,7.63166326874589,7.87586138951656,7.65121427752324,7.94295878606651,7.63169643632004,7.87614031832752,8.10357079466188,8.01513439668295,6.93712526724025,7.87676570591054,7.86745402754644,7.87007246796866
"2316379",8.63758830325825,9.15169062125769,9.43664706120876,8.99262701797031,9.2442430516717,9.12272516056754,9.47793072237887,8.87572182043437,8.78828027307198,8.66115092870615,9.08469925589255,8.75934896682609,9.28283347494319,8.68075539167163,9.32142580062514,9.37349887641495,8.81898397925771,8.42370758367005,9.46368162350016,9.11941596401034,9.26242216194311,8.50152183239896,9.29042139622683,8.58921289133394,9.47709973076119,9.00989362691164,10.0488127812551,8.90020325139663,9.09854615146133,9.03395503557763,9.12080481593575,8.98755197654127,9.02695348992285,8.69039394693292,9.44629841159093,9.75863369187642,9.08620281937658,9.07538739213523,9.35362532673066,8.90637105791336,9.45551949117885,9.03409131370071,9.92588283415664,8.93627623873992,9.30997114597986,9.3159029811917,9.66533616463005,8.9877143379243,9.29037330459846,8.8376473231501
