"","category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"hsa04010","Environmental Information Processing","Signal transduction","hsa04010","MAPK signaling pathway","291/7545","300/9512",0.97,1.22288137839629,7.68241883474274,7.87291370501038e-20,2.74764688304862e-17,5.1381121022173e-18,"27092/2065/784/3925/5979/2064/10125/1944/776/5058/9261/7422/51701/1945/11221/1942/3845/4254/4137/1847/2885/3315/1846/5603/4615/9175/10912/994/3312/4893/1616/5880/5881/2261/3654/4293/2322/207/7040/6788/3480/5062/5536/836/8912/6195/7043/4791/7186/7157/80824/9254/6789/5871/2002/51135/5970/369/5155/255189/5601/782/3551/10746/11184/4616/5604/2872/9344/3553/4149/786/5566/7867/7124/1399/8550/783/23162/1147/2264/6300/1326/409/5594/285/7046/5971/5923/3303/8986/3265/57551/7786/4296/3304/3310/3552/1647/5801/51347/8605/1850/5605/51295/778/8717/5778/25780/4294/208/8911/59283/2768/774/59284/5494/10454/283748/9048/998/10369/5568/93589/5582/26291/5879/2250/4902/2251/5606/3305/10368/356/5598/1432/6416/4790/7132/8491/8817/84451/5623/5600/5906/4763/27091/5534/1943/777/9479/8517/8074/2668/84867/6722/5595/773/1852/2248/5228/779/3643/9965/5922/7042/1649/9020/5607/5894/59285/27006/26281/5579/2254/2253/2316/627/2323/23542/2249/929/1845/5567/1844/5532/123745/115727/2005/3556/5921/10235/1849/5535/4803/8822/2066/4914/51378/6885/5495/3630/55799/23118/22800/4908/1386/673/4909/9064/5533/7039/1398/7189/4215/8913/5599/4775/6655/8649/7424/4772/3727/6237/1436/1969/5530/775/4216/6654/5908/2321/2263/7423/1435/9252/2324/374/785/27330/9448/4609/5924/6196/3164/4217/408/5159/5578/355/6197/2069/55970/2122/4804/56034/51776/9693/3791/4208/468/1950/5608/3725/3554/2260/1843/5602/1848/3082/284/5321/2246/1946/2252/10000/7010/2353/22808/781/4233/7048/80310/3481/2255/1956/3479/4915/3815/2247/2277",291
"hsa05165","Human Diseases","Infectious disease: viral","hsa05165","Human papillomavirus infection","317/7545","333/9512",0.951951951951952,1.20012815996911,7.28070051534957,5.3086845925234e-17,7.45052968339982e-15,1.39325242156776e-15,"9134/2335/6696/890/9368/1277/84612/6772/5315/90993/1311/533/537/7283/5522/1017/8503/5933/4599/898/7422/3107/148327/1278/10379/595/3993/581/1741/3845/7477/10312/3065/22801/2885/51606/8638/523/4193/5296/1019/6199/1287/29110/4893/528/7057/3381/3371/9550/9114/3659/207/10207/1027/1869/3280/5518/2535/3685/10134/1857/3911/5747/836/6773/1101/529/3066/8772/155066/7157/527/9296/578/6198/7187/5515/9641/7474/5610/1108/3134/3676/5970/5529/3678/526/7058/10488/5590/2932/1452/8323/545/3551/7249/5663/7297/148022/3106/5604/3661/50855/2475/7337/3955/3695/8312/2778/4600/5566/7124/5528/51382/245972/10474/7472/23513/535/1147/1855/7473/5594/1978/8992/5525/3265/55012/5291/841/3443/3452/7976/3456/9636/572/3693/7448/5526/256076/5605/84699/8717/57801/26508/3455/1739/4799/208/2033/9519/23545/1293/998/7059/5568/534/23352/1291/3439/3996/5520/92359/4854/3440/3675/356/7480/90423/5925/54626/4790/7132/387332/3446/1856/7143/51384/27175/54361/1280/1282/7471/9794/525/7484/10297/55844/8517/55502/5595/11211/122011/5584/127124/3674/89780/3454/7483/7015/64764/7478/1298/22798/3448/11317/3445/5293/1299/5894/3694/6908/7479/7248/4242/8326/81029/7476/84552/5567/1387/84667/1288/8321/1297/7060/8900/1286/80326/8325/5934/6009/5527/324/4851/472/245973/3688/1292/1385/50617/5523/1285/1026/896/1284/7475/1499/23493/3673/5516/3516/6932/3442/6655/55534/8516/5290/64398/23462/8313/5521/10319/182/1740/6654/4853/5829/3716/8515/7482/3133/3441/4855/7098/2308/3451/3913/5728/7481/3691/5159/56288/3690/355/3918/3912/284217/1021/5734/9223/8324/7855/1950/83439/5519/3914/3655/3680/894/3915/9586/3909/3696/3910/6934/7450/10000/3679/5295/8322/5743/84441/3908/5649/1956",317
"hsa04024","Environmental Information Processing","Signal transduction","hsa04024","cAMP signaling pathway","221/7545","226/9512",0.97787610619469,1.23281080478779,6.93718929047252,6.40446677656145e-17,7.45052968339982e-15,1.39325242156776e-15,"90993/10451/8503/776/5058/5499/2891/148327/2902/805/7410/489/6752/5296/488/7074/135/6755/5880/5881/207/2773/483/1909/10257/6548/84876/5970/10488/113/5601/478/5604/1907/808/115/9568/2778/107/814/2867/5566/7253/387/5501/1260/2149/5594/5144/7409/476/5291/7137/491/818/572/815/5605/84699/487/778/1081/481/208/2906/2033/2488/610/4158/5338/816/1816/5568/2903/2696/23439/112/480/268/5879/2905/10021/6662/6750/5020/5141/51738/8310/84152/1392/139760/170589/55811/4790/116443/51806/3350/5906/54714/1812/2695/492/2492/1394/4878/5595/114/5143/3354/116/779/6262/64764/1258/1261/5293/7252/5894/3352/122876/3972/2771/3360/627/163688/91860/4792/2735/7432/2641/5567/1387/2737/51196/801/6093/134/3351/3362/490/6751/2693/1259/10846/108/810/3355/4852/1385/1395/51/22800/5443/1080/1129/11069/64399/673/4301/5142/7434/56670/2550/5599/2740/5500/4772/5290/6237/1128/27198/4659/2890/775/153/5908/64208/493/64091/109/1813/5733/64411/5465/5350/2904/5732/1908/8843/817/10411/154/10398/9475/5139/3776/11149/482/338442/111/196883/3973/3725/117/1906/5602/9586/2892/477/2893/10000/5337/4886/5295/4881/5140/2353/2770/3991/5021/5348",221
"hsa04080","Environmental Information Processing","Signaling molecules and interaction","hsa04080","Neuroactive ligand-receptor interaction","349/7545","370/9512",0.943243243243243,1.18914906954668,7.26816864457634,1.4229433867418e-16,1.24151810493222e-14,2.32164447310504e-15,"5618/2359/27346/8973/2891/2902/27334/183/5029/6752/140/728/5025/10911/9170/135/6755/2899/1138/130576/5027/7442/2914/5724/719/1909/79957/2556/2357/8862/5031/11054/2922/10800/3001/1143/706/1903/5367/1134/1907/10857/2742/9568/79924/6019/55584/7253/55879/5697/51083/5026/2149/2900/2151/2563/2847/623/1141/8811/2558/9002/4159/5539/4987/7349/57152/2898/2561/84539/1241/1081/5741/3060/1142/1132/2918/59350/114131/2906/6343/9248/22953/113091/2488/6915/90226/399967/10874/4158/3640/6870/8698/10022/7200/186/6866/1816/84634/5173/1140/2903/2696/2915/2689/3274/2905/5024/6750/5020/64111/2642/2743/83551/51738/2834/4161/2797/5739/4544/4923/122042/11255/1392/5731/85569/4986/3062/727/1815/170589/551/116443/3350/2147/5023/2798/2570/6013/2358/4985/2559/1812/3361/3358/165829/2566/2695/2859/3363/6865/3375/387129/1144/56923/134860/1814/2492/1394/146/797/2916/2150/887/5617/3827/4142/3814/2692/1133/57053/4160/1137/10886/2560/680/886/2741/1145/2862/64106/3354/7201/2837/1135/100169851/5340/2912/116/51289/23620/57105/5644/2565/2911/2554/7252/6754/117579/2587/4988/3352/122876/9127/9287/2917/2895/3972/1136/134864/2569/5368/2562/2557/7425/255061/10424/2555/554/3360/5030/4295/1269/344838/9038/885/7432/2641/6753/2691/339403/796/6344/2913/1146/89832/1139/134/84109/51052/5028/4829/3351/3362/1442/624/6751/2693/1443/8484/2901/4828/2567/155/1444/2688/799/59340/3061/4543/3355/4852/152/53637/151/1395/187/9340/10888/5443/1129/136/2832/4922/130574/347148/9294/319100/7434/5179/2550/2740/2796/1268/1128/2897/2831/147/2890/153/10316/7433/6863/1131/53829/552/23566/1813/8620/2894/10161/5733/5746/3356/5729/185/2904/5732/3269/1908/5745/1511/3357/133/257313/154/2846/150/718/5734/148/7067/7068/3973/10203/5737/5646/4889/79627/117/1906/4887/9934/2892/2893/2908/1902/8001/6869/1901/4886/80763/2564/3953/1910/5021/2690/3952/2568",349
"hsa04081","Environmental Information Processing","Signaling molecules and interaction","hsa04081","Hormone signaling","214/7545","219/9512",0.977168949771689,1.2319192909514,6.80019703233455,2.88427280234778e-16,2.01322241603875e-14,3.76473502622237e-15,"5618/1733/658/8503/183/2099/51094/6752/5296/6755/2787/6714/2773/5331/3685/3480/10672/2783/59345/79602/2769/113/57817/5367/115/2778/5330/107/2782/5566/7253/2793/387/1734/10267/6794/8471/2847/5291/117247/2785/2767/4159/4086/4987/2057/7349/84539/2786/1081/5741/9843/6567/3060/114131/2768/6774/2488/90226/9630/4158/2775/7200/186/1816/5568/5173/4842/2696/7066/112/2689/268/2056/6750/5020/2984/51764/2642/51738/2834/4161/2797/1392/4986/3062/1815/551/2792/2798/4985/269/1812/2695/3375/1814/2492/1394/146/797/887/5617/2692/4878/2784/4160/886/114/2862/7201/2980/3643/4879/5293/7252/6754/4988/3972/5368/4880/2771/554/4295/885/7432/2641/5567/6753/2691/796/2520/51052/1442/2981/6751/2693/1443/155/53919/3717/1444/2688/799/108/3061/152/3630/151/1395/5592/2776/5443/11069/5332/2100/7434/5179/10681/90/4090/4352/26060/2740/2796/5290/5593/94235/147/153/7433/4089/30061/2852/10268/552/109/1813/657/185/10266/4882/5745/3690/55970/8660/10411/154/2788/150/4093/5744/6777/3667/148/6776/7067/7068/111/196883/3973/4883/23236/54331/5295/4881/2770/3953/2791/3481/5021/3479/2690/3952/9370",214
"hsa04151","Environmental Information Processing","Signal transduction","hsa04151","PI3K-Akt signaling pathway","341/7545","362/9512",0.941988950276243,1.18756777932772,7.12594568652314,6.0568310802039e-16,3.52305674498527e-14,6.58813205215161e-15,"9134/2335/6696/5618/1277/2065/4602/7534/5979/90993/1311/2064/5522/1944/1017/7533/8503/898/672/7422/3561/148327/1278/1945/595/92579/1942/3845/4254/22801/2885/3560/4193/5296/5106/1019/9170/6199/7529/1287/4893/7057/3381/54541/3371/2261/5008/2787/2322/207/1027/3559/5518/3685/3480/3911/5747/7184/1101/7157/2783/6198/59345/2997/5515/64223/3676/5970/5529/3678/5155/7058/10488/5170/3320/2932/5585/57121/3551/7249/200186/7531/57521/5604/598/10018/2475/3695/3718/3575/23533/2782/117145/5528/2793/118788/1147/2264/2149/5594/285/6794/1978/5525/3265/6850/55012/9470/5291/2785/3443/3452/3326/3565/3456/5294/572/1441/2057/3693/7448/5526/256076/930/5605/2786/84699/3455/10971/7532/208/9048/1293/100533105/1977/7059/1291/3574/3439/7097/5520/2689/2056/26291/5879/2250/4902/2251/3440/3675/356/51764/9623/3558/4790/2792/8817/3562/5623/3446/7143/5563/1280/1282/8115/842/1943/55844/8517/5617/2784/8074/2668/2538/5595/6256/57818/2248/5228/3674/3454/64764/3643/11140/9965/1298/22798/3448/3445/5293/1299/5894/27006/3694/26281/2254/7248/2253/627/2323/2249/1288/1297/7060/1286/1440/5934/1442/6009/9863/1443/5527/4803/3717/1444/5586/8822/2688/2066/4914/2309/51378/3630/4846/3688/29941/1292/1385/5523/1285/4908/1129/596/1026/1386/896/1284/4909/7039/10681/3673/5516/3442/6655/9180/23678/7424/8516/5290/1436/6446/5521/1128/10319/1969/3566/94235/6194/6654/2998/3716/2321/8515/3570/2263/7423/23566/23239/1435/2324/3441/374/10161/4609/3451/3913/3164/5728/3691/5159/4170/3690/5578/5562/2069/10110/55970/2846/3918/2788/4804/3912/284217/1021/7099/56034/3791/3667/9223/468/1950/5519/2260/3914/3655/3680/894/3915/9586/3909/3696/3082/284/3569/1388/3910/1902/2246/1946/2252/7450/5105/10000/7010/54331/3679/5295/4233/80310/2791/3481/2255/3908/5649/1956/3479/2690/4915/3815/2247/2277",341
"hsa04082","Environmental Information Processing","Signaling molecules and interaction","hsa04082","Neuroactive ligand signaling","195/7545","199/9512",0.979899497487437,1.23536169915182,6.57140237470439,1.92639643725754e-15,9.604462237184e-14,1.79603878360853e-14,"8973/2891/2902/5029/140/6506/6536/5025/135/2899/6532/6505/2787/2773/5331/2914/63910/2556/2783/59345/5031/11054/113/1143/6539/115/9568/2778/5330/107/2782/5566/2793/55879/5026/2900/6529/2563/1141/2785/181/2767/2558/4159/4987/2898/3359/2561/2786/6571/1132/2918/2906/140679/22953/6538/1103/6870/2775/9177/6866/1816/5568/5173/2903/2915/246213/6572/5582/112/6570/3274/2905/5024/6540/51764/2743/200909/11255/4986/1815/116443/3350/57084/60482/2792/5023/2570/4985/2559/1812/3361/3358/2566/3363/6865/1814/146/2916/1133/2784/4160/1137/2560/43/285242/2741/114/6531/3354/2912/170572/2565/2911/2554/6511/4988/3352/9127/2917/1136/2569/5579/5368/2562/2557/255061/2771/2555/9152/3360/6512/5030/5567/2913/89832/1139/134/5028/3351/3362/2901/2567/6507/108/3355/152/151/6530/2776/5443/1129/5332/136/5179/10681/2550/1128/94235/2897/147/2890/153/6863/1131/57030/53829/109/1813/3356/2904/3269/5578/3357/55970/154/2788/150/64805/148/111/196883/79627/2774/9934/2892/2893/23236/8001/6869/54331/2564/2770/2791/2568",195
"hsa04934","Human Diseases","Endocrine and metabolic disease","hsa04934","Cushing syndrome","154/7545","155/9512",0.993548387096774,1.25256888774878,6.20894651825067,7.71004411778562e-15,3.36350674638398e-13,6.28977283293037e-14,"9134/51176/90993/1017/776/898/1029/148327/57552/595/183/7477/1871/1019/2271/1589/4221/1027/1869/2773/5331/2535/1857/8912/5087/5929/7474/3710/84876/10488/113/3949/2932/8323/5604/54554/8312/115/8085/2778/5330/107/5566/7472/1855/7473/1870/5594/2767/9101/7976/818/815/5605/84699/778/8911/4158/816/5568/112/6770/7480/1392/5925/23746/1856/5906/9049/51384/54361/1586/6667/7471/7484/79798/10297/1394/1584/9070/2516/949/5595/3739/11211/114/89780/7483/779/64764/7478/3284/1030/7479/2771/8326/81029/7476/5567/8321/80326/8325/324/3283/108/1031/1385/1395/3777/2776/5443/5332/1026/1386/673/7475/1499/8913/1583/6932/56246/5151/8313/4297/775/5908/405/7482/3709/109/185/3708/3164/7481/817/196/50940/1021/3776/8324/468/111/7855/51655/196883/83439/9586/23236/1388/6934/8622/2770/8322/1956",154
"hsa04820","Cellular Processes","Cell motility","hsa04820","Cytoskeleton in muscle cells","224/7545","233/9512",0.96137339055794,1.21200579072063,6.41675753837877,6.82539249818487e-14,2.64673553540724e-12,4.94940742558435e-13,"1301/2335/633/81624/1277/6382/1311/4001/10529/1462/2026/6385/1278/3728/22801/1832/7138/1287/84823/7057/1289/1290/829/1281/832/3685/272/64423/288/483/2010/29766/2027/7170/6712/3676/1605/3678/7058/91010/22795/478/70/3695/255631/58/2023/1729/10611/71/5339/4627/79784/271/476/165904/7137/4703/3693/2275/752/256076/27063/84675/84665/481/4619/1293/830/200539/7059/4633/1291/89/23439/480/4626/4632/8557/4622/3675/4635/4606/57731/85301/4625/118461/2201/1158/4892/7414/57159/1829/4624/84467/1282/7168/88/23002/4620/51332/29895/5318/26287/29765/60/7134/56203/58498/7125/8735/3674/1298/8048/51778/1299/129446/64236/7136/9499/50509/3694/4608/84676/11155/4607/4636/4621/127294/1302/1288/1466/1297/7060/7791/6442/1286/58529/57644/7139/7135/2274/91977/3688/1292/137868/1285/6640/3930/1284/6709/84033/9672/9172/4634/3673/3339/8516/2200/79188/23224/6444/1674/25777/1837/8515/7094/4628/6383/2006/8572/23353/6641/93661/114793/56776/2199/6645/1824/2318/1465/4000/7169/3691/3690/9124/10398/284217/825/29767/1730/482/83660/6443/7140/2192/4811/8082/3655/3680/7431/6445/23500/23345/270/8736/7273/3696/477/27295/3679/6711/25802/7111/287/8910/1634/161176/3908/72/4629/4604/1756/2273",224
"hsa04390","Environmental Information Processing","Signal transduction","hsa04390","Hippo signaling pathway","155/7545","157/9512",0.987261146496815,1.24464254810838,6.05341508629589,1.03584474065458e-13,3.61509814488447e-12,6.76024988637724e-13,"84612/7534/658/51176/353500/5522/7533/5054/5499/332/999/595/3993/1741/7477/7529/10207/7040/1453/5518/2535/9231/6788/1857/3398/7043/5515/3689/55233/7474/7004/7159/5590/2932/8323/330/7531/8463/50855/8994/8945/8312/71/7472/23513/5501/1855/4092/4771/7473/7046/7005/85407/84962/7976/4086/1742/1739/10971/7532/1495/85409/655/3996/5520/7161/268/7480/6657/1856/23286/92597/51384/1454/54361/7471/7484/10297/55844/27113/60/151449/11211/392255/5584/1496/89780/7483/7478/7042/8200/286204/23418/7479/8326/81029/9113/7476/84552/8321/1490/23291/174/80326/656/8325/29119/324/329/11186/122786/79981/896/7475/659/1499/5516/6932/2736/5500/64398/8313/5521/1740/4089/7482/26524/4088/657/154796/374/650/4609/4087/652/7481/25937/56288/7003/654/166824/10413/8324/7855/653/83439/5519/6591/894/3397/60485/6934/2246/8322/7048",155
